Task name,Assignee,Created time,Description,Due,Files & media,Group Kegiatan,Kelengkapan,Month,Parent task,Parent-task,Priority,Status,Sub-task,Sub-tasks,Team,Year
"[Zoom-distribusi] ",,"January 15, 2025 7:50 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Kasie IPD BPS Provinsi Kalimantan Timur's Zoom Meeting
Time: Jan 15, 2025 08:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=86313179550

Meeting ID: 640 000 6401
Passcode: bps6400

","January 15, 2025",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Buat sertifikat internalisasi sektoral,,"January 15, 2025 7:51 AM",Kelengkapa dapat diakses pada: https://drive.google.com/open?id=1HKpXToxqB0tGcwnB18jIVDpoNPJUfho2&usp=drive_fs,"January 15, 2025",,Kegiatan Lainnya,Lengkap,Januari,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Update SIPADU,,"January 15, 2025 11:28 AM",Screenshot di bawah,"January 15, 2025",,Aplikasi Kantor,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-produksi] Pembahasan Angka Produktivitas Tanaman Pangan Subround III Tahun 2024,,"January 17, 2025 2:07 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: [Zoom-produksi] Pembahasan Angka Profuktivitas Tanaman Pangan Subround III Tahun 2024
Time: Jan 21, 2025 09:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=89400186077

Meeting ID: 640 000 6401
Passcode: bps6400

","January 21, 2025 9:00 AM (GMT+8)",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:01 PM",,"January 25, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Januari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:02 PM",,"January 26, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Januari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:02 PM",,"March 16, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 1, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 8, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 15, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 22, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 2, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 9, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 16, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"February 23, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Februari,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:03 PM",,"March 1, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:04 PM",,"March 8, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:04 PM",,"March 15, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:04 PM",,"March 22, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:04 PM",,"March 23, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:04 PM",,"March 9, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
"IELTS Course @Kobi ",,"January 17, 2025 4:04 PM",,"March 2, 2025 10:00 AM (GMT+8)",,S2,Lengkap,Maret,,,,Done,,,Lainnya (https://www.notion.so/Lainnya-17e2318e3b728083bf66c403999d1de6?pvs=21),2025
Rapat ISO,,"January 23, 2025 8:42 AM",,"January 23, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Januari,,,,Done,,,ISO PEKPPPP (https://www.notion.so/ISO-PEKPPPP-1842318e3b728029ba5fcb1d2ad6c26d?pvs=21),2025
[Zoom-RB] Rapat Koodinasi Penerbitan Jurnal Bestari,,"February 3, 2025 8:35 AM","Dokumentasi tersedia. ","February 4, 2025 1:30 PM (GMT+8)",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,"IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21), RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21)",2025
Maintenance Si Caka,,"February 3, 2025 2:05 PM","Dokumen bukti dukung tersedia ","February 3, 2025 → February 5, 2025",,Aplikasi Kantor,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-Neraca] Rekon PDRB ",,"February 3, 2025 3:43 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Zoom Rekon PDRB
Time: Feb 4, 2025 14:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=87528903675

Meeting ID: 640 000 6401
Passcode: bps6400","February 5, 2025 → February 7, 2025",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-Neraca] Rekon PDRB,,"February 3, 2025 3:44 PM",,"February 10, 2025 → February 13, 2025",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Coaching Clinic ISO: Audit Internal,,"February 4, 2025 10:04 AM","Link kelengkapan: 
https://pstbps.my.canva.site/coaching-clinic-pst","February 4, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Februari,,,,Done,,,ISO PEKPPPP (https://www.notion.so/ISO-PEKPPPP-1842318e3b728029ba5fcb1d2ad6c26d?pvs=21),2025
Mengolah excel data pendukung SBR,,"February 5, 2025 9:20 AM","screenshot tersedia. ","February 5, 2025",,Wilkerstat,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Mengelola Bestari,,"February 5, 2025 9:22 AM","Bukti dukung di bawah. ","February 5, 2025 → February 7, 2025",,"Aplikasi Kantor, Bestari",Lengkap,Februari,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
[Zoom-RB] Rapat Tim Editorial Bestari,,"February 5, 2025 2:45 PM","──────────6400_Kaltim is inviting you to a scheduled Zoom meeting.Join Zoom Meetinghttps://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=89969384231
Meeting ID: 640 000 6402
Passcode: bps64

","February 10, 2025",,"Bestari, Mengelola Zoom",Lengkap,Februari,,,,Done,,,"IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21), RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21)",2025
Maintenance Si Caka,,"February 6, 2025 8:36 AM","Bukti dukung di bawah ","February 5, 2025 → February 7, 2025",,Aplikasi Kantor,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-RB] Sosialisasi Penulisan Bestari,,"February 6, 2025 8:40 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Alinea Part 5
Time: Feb 20, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=86586551799

Meeting ID: 640 000 6401
Passcode: bps6400

","February 26, 2025 2:00 PM (GMT+8)",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,"IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21), RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21)",2025
"Zoom Bitdefender ",,"February 6, 2025 11:39 AM",http://s.bps.go.id/kamis-eksis,"February 6, 2025",,Aplikasi Kantor,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Internalisasi Statistik Sektoral ESENSIAL,,"February 6, 2025 11:40 AM","🚀 Kick Off Pembinaan Statistik Sektoral 2025 🚀

Yth. Bapak/Ibu Walidata dan Tim Pembina

Kami mengundang Bapak/Ibu untuk hadir dalam Kick Off Pembinaan Statistik Sektoral 2025, sebuah langkah awal dalam peningkatan koordinasi serta kualitas statistik sektoral, yang akan diselenggarakan pada:

📅 Kamis, 6 Februari 2025
⏰ 08.00 WIB - selesai
📍 Zoom Workplace / Youtube Live
https://s.id/kickoff-pembinaan2025

Hormat kami,
Sekretariat Pembinaan Statistik Sektoral
Badan Pusat Statistik","February 6, 2025",,Metadata dan Romantik,Lengkap,Februari,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
"Rapat sekretariat RB untuk persiapan kick off pencanangan ZI kabkota ",,"February 8, 2025 1:14 PM","notulen dan to do list ada di samsung notes. bisa dipindah kesini nanti yaa ","February 7, 2025",,Sekretariat RB,Lengkap,Februari,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
[Zoom -RB] Kick off meeting zona integritas,,"February 8, 2025 1:16 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: kick off meeting persiapan penilaian pembangunan ZI
Time: Feb 14, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=89212568757

Meeting ID: 640 000 6401
Passcode: bps6400

","February 17, 2025",,"Mengelola Zoom, Sekretariat RB",Lengkap,Februari,,,,Done,,,"RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21), IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21)",2025
Membuat query SNLIK,,"February 10, 2025 8:21 AM",,"February 10, 2025 → February 12, 2025",,SNLIK,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Mengeloal Bestari,,"February 10, 2025 3:59 PM",Deskripsi di bawah,"February 11, 2025 → February 14, 2025",,Bestari,Lengkap,Februari,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"Rapat RB Persiapan kick off ",,"February 10, 2025 4:00 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: kick off meeting persiapan penilaian pembangunan ZI
Time: Feb 14, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=89212568757

Meeting ID: 640 000 6401
Passcode: bps6400","February 11, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Februari,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Mengelola web descan,,"February 13, 2025 3:44 PM",,"February 17, 2025 → February 21, 2025",,Aplikasi Kantor,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Persiapan Kick off RB ",,"February 14, 2025 9:59 AM","bukti dukung di bawah ","February 14, 2025",,Kegiatan Lainnya,Lengkap,Februari,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"[Zoom-RB] Zoom tata laksana mbak nurul ",,"February 17, 2025 1:35 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Zoom tata laksana
Time: Feb 18, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=84978305242

Meeting ID: 640 000 6401
Passcode: bps6400

","February 18, 2025 2:00 PM (GMT+8)",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Membuat kalender RB ",,"February 17, 2025 3:37 PM",Bukti dukung: https://docs.google.com/spreadsheets/d/1ZaoQVAKzgJMF4qARJuFFVmRfFaUT6MJMCXn2558uJeU/edit?gid=1028213547#gid=1028213547,"February 17, 2025 → February 18, 2025",,Aplikasi Kantor,Lengkap,Februari,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"[Zoom-neraca] Workshop QG ",,"February 18, 2025 1:06 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Alinea Part 5
Time: Feb 20, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=86586551799

Meeting ID: 640 000 6401
Passcode: bps6400","February 25, 2025",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-sosial] Arahan Kepala BPS Prov terkait Persiapan Susenas Maret 2025,,"February 18, 2025 2:13 PM","6400_Kaltim mengundang Anda untuk bergabung ke rapat Zoom yang terjadwal.

Topik: Rapat Sosial: Arahan Kepala BPS Prov terkait Persiapan Susenas Maret 2025
Waktu: 18 Feb 2025 15:00 Singapura
Bergabung ke Rapat Zoom
https://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=87526693808

ID Rapat: 640 000 6402
Kode Sandi: bps64

","February 18, 2025",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-neraca] Finalisasi Rekonsiliasi PDRB Kabupaten/Kota Triwulanan Menurut Pengeluaran Tahun 2022-2024,,"February 19, 2025 8:06 AM",,"February 19, 2025 8:50 AM (GMT+8)",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-RB] Rapat Pilar Manajemen Perubahan,,"February 20, 2025 8:50 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Kasie IPD BPS Provinsi Kalimantan Timur's Zoom Meeting
Time: Feb 21, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=86505613263

Meeting ID: 640 000 6401
Passcode: bps6400

","February 21, 2025",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-Neraca],,"February 25, 2025 2:24 PM","[12:44 PM, 2/25/2025] Nindia Indri BPS Kaltim: Aul, minta link zoom buat bsok dunks
[12:44 PM, 2/25/2025] Nindia Indri BPS Kaltim: Rapat dengan OIKN
[12:44 PM, 2/25/2025] Nindia Indri BPS Kaltim: Jam 8 mulainya
[12:59 PM, 2/25/2025] Aulia M 😼: sampai jam brp kak?
[1:00 PM, 2/25/2025] Nindia Indri BPS Kaltim: jam 10an aja ul
[1:08 PM, 2/25/2025] Aulia M 😼: ok pakai ini lagi aja
[1:09 PM, 2/25/2025] Nindia Indri BPS Kaltim: oceeee ul
makasih banyaaak
[1:09 PM, 2/25/2025] Nindia Indri BPS Kaltim: Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Rapat dengan OIKN
Time: Feb 26, 2025 08:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=86586551799

Meeting ID: 640 000 6401
Passcode: bps6400
[1:09 PM, 2/25/2025] Nindia Indri BPS Kaltim: ini yaa brartiii
[1:09 PM, 2/25/2025] Aulia M 😼: iyaa
[1:10 PM, 2/25/2025] Nindia Indri BPS Kaltim: oceee","February 26, 2025 8:00 AM (GMT+8)",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,,2025
[Zoom-RB] Pilar SDM,,"February 25, 2025 2:40 PM",akun bps6400,"February 26, 2025 8:00 AM (GMT+8)",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-neraca] Rekon pdrb ",,"February 26, 2025 1:17 PM",pakai akun kasieipd,"February 27, 2025",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-sosial] Pelatihan DTSEN,,"February 26, 2025 1:17 PM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Pelatihan DTSEN
Time: Feb 27, 2025 08:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=89913215238

Meeting ID: 640 000 6402
Passcode: bps64

","February 27, 2025",,Mengelola Zoom,Lengkap,Februari,,,,Done,,,,2025
"Menyiapkan ruang sigma utk tarhib ramadhan ",,"February 27, 2025 10:28 AM",,"February 27, 2025",,Kegiatan Lainnya,Lengkap,Februari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Maintenance Bestari,,"March 4, 2025 8:49 AM",mengubah link submission guide,"March 4, 2025",,Bestari,Lengkap,Maret,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Maintenance Sicaka,,"March 4, 2025 8:50 AM",bukti dukugn di bawah,"March 4, 2025 → March 6, 2025",,Aplikasi Kantor,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Rapat ISO,,"March 4, 2025 8:51 AM",,"March 3, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Maret,,,,Done,,,ISO PEKPPPP (https://www.notion.so/ISO-PEKPPPP-1842318e3b728029ba5fcb1d2ad6c26d?pvs=21),2025
Rapat sekretariat RB,,"March 4, 2025 8:51 AM",,"March 3, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Maret,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"[Zoom-CC dan neraca] Rekon pdrb dan rapat CC se kabkot ",,"March 4, 2025 8:52 AM","pagi-siang : akun bps6400
siang : akun kasieipd6400","March 4, 2025",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
